	orientation_at_TR	pos_in_ori_at_TR	direction_at_TR
0	-1.0	0.0	0.0
1	-1.0	0.0	1.0
2	-1.0	0.0	0.0
3	-1.0	0.0	0.0
4	-1.0	0.0	0.0
5	-1.0	0.0	1.0
6	-1.0	0.0	0.0
7	-1.0	0.0	0.0
8	-1.0	0.0	1.0
9	-1.0	0.0	0.0
10	-1.0	0.0	1.0
11	-1.0	0.0	1.0
12	-1.0	0.0	0.0
13	-1.0	0.0	0.0
14	-1.0	0.0	0.0
15	-1.0	0.0	1.0
16	-1.0	0.0	1.0
17	-1.0	0.0	1.0
18	-1.0	0.0	1.0
19	-1.0	0.0	1.0
20	0.0	-540.0	1.0
21	0.0	-483.157895	1.0
22	0.0	-426.315789	1.0
23	0.0	-369.473684	1.0
24	0.0	-312.631579	0.0
25	0.0	-255.789474	1.0
26	0.0	-198.947368	1.0
27	0.0	-142.105263	1.0
28	0.0	-85.263158	0.0
29	0.0	-28.421053	0.0
30	0.0	28.421053	1.0
31	0.0	85.263158	0.0
32	0.0	142.105263	0.0
33	0.0	198.947368	0.0
34	0.0	255.789474	1.0
35	0.0	312.631579	0.0
36	0.0	369.473684	0.0
37	0.0	426.315789	0.0
38	0.0	483.157895	1.0
39	0.0	540.0	0.0
40	90.0	-540.0	1.0
41	90.0	-483.157895	1.0
42	90.0	-426.315789	1.0
43	90.0	-369.473684	0.0
44	90.0	-312.631579	1.0
45	90.0	-255.789474	0.0
46	90.0	-198.947368	0.0
47	90.0	-142.105263	0.0
48	90.0	-85.263158	1.0
49	90.0	-28.421053	1.0
50	90.0	28.421053	0.0
51	90.0	85.263158	0.0
52	90.0	142.105263	0.0
53	90.0	198.947368	0.0
54	90.0	255.789474	1.0
55	90.0	312.631579	1.0
56	90.0	369.473684	1.0
57	90.0	426.315789	1.0
58	90.0	483.157895	1.0
59	90.0	540.0	1.0
60	-1.0	0.0	0.0
61	-1.0	0.0	0.0
62	-1.0	0.0	0.0
63	-1.0	0.0	1.0
64	-1.0	0.0	0.0
65	-1.0	0.0	1.0
66	-1.0	0.0	0.0
67	-1.0	0.0	1.0
68	-1.0	0.0	0.0
69	-1.0	0.0	1.0
70	180.0	-540.0	0.0
71	180.0	-483.157895	0.0
72	180.0	-426.315789	0.0
73	180.0	-369.473684	0.0
74	180.0	-312.631579	0.0
75	180.0	-255.789474	0.0
76	180.0	-198.947368	0.0
77	180.0	-142.105263	1.0
78	180.0	-85.263158	0.0
79	180.0	-28.421053	1.0
80	180.0	28.421053	0.0
81	180.0	85.263158	0.0
82	180.0	142.105263	0.0
83	180.0	198.947368	0.0
84	180.0	255.789474	1.0
85	180.0	312.631579	0.0
86	180.0	369.473684	0.0
87	180.0	426.315789	0.0
88	180.0	483.157895	1.0
89	180.0	540.0	0.0
90	270.0	-540.0	0.0
91	270.0	-483.157895	1.0
92	270.0	-426.315789	1.0
93	270.0	-369.473684	0.0
94	270.0	-312.631579	0.0
95	270.0	-255.789474	1.0
96	270.0	-198.947368	0.0
97	270.0	-142.105263	0.0
98	270.0	-85.263158	0.0
99	270.0	-28.421053	0.0
100	270.0	28.421053	1.0
101	270.0	85.263158	0.0
102	270.0	142.105263	0.0
103	270.0	198.947368	0.0
104	270.0	255.789474	0.0
105	270.0	312.631579	1.0
106	270.0	369.473684	1.0
107	270.0	426.315789	0.0
108	270.0	483.157895	0.0
109	270.0	540.0	1.0
110	-1.0	0.0	1.0
111	-1.0	0.0	1.0
112	-1.0	0.0	0.0
113	-1.0	0.0	0.0
114	-1.0	0.0	1.0
115	-1.0	0.0	1.0
116	-1.0	0.0	0.0
117	-1.0	0.0	1.0
118	-1.0	0.0	1.0
119	-1.0	0.0	1.0
120	-1.0	0.0	1.0
121	-1.0	0.0	1.0
122	-1.0	0.0	0.0
123	-1.0	0.0	1.0
124	-1.0	0.0	1.0
125	-1.0	0.0	1.0
126	-1.0	0.0	0.0
127	-1.0	0.0	0.0
128	-1.0	0.0	1.0
129	-1.0	0.0	0.0
130	0.0	-540.0	1.0
131	0.0	-483.157895	1.0
132	0.0	-426.315789	1.0
133	0.0	-369.473684	1.0
134	0.0	-312.631579	0.0
135	0.0	-255.789474	1.0
136	0.0	-198.947368	1.0
137	0.0	-142.105263	0.0
138	0.0	-85.263158	0.0
139	0.0	-28.421053	0.0
140	0.0	28.421053	1.0
141	0.0	85.263158	0.0
142	0.0	142.105263	0.0
143	0.0	198.947368	1.0
144	0.0	255.789474	0.0
145	0.0	312.631579	1.0
146	0.0	369.473684	0.0
147	0.0	426.315789	1.0
148	0.0	483.157895	0.0
149	0.0	540.0	1.0
150	90.0	-540.0	1.0
151	90.0	-483.157895	1.0
152	90.0	-426.315789	1.0
153	90.0	-369.473684	1.0
154	90.0	-312.631579	0.0
155	90.0	-255.789474	0.0
156	90.0	-198.947368	0.0
157	90.0	-142.105263	0.0
158	90.0	-85.263158	0.0
159	90.0	-28.421053	1.0
160	90.0	28.421053	0.0
161	90.0	85.263158	0.0
162	90.0	142.105263	1.0
163	90.0	198.947368	0.0
164	90.0	255.789474	0.0
165	90.0	312.631579	1.0
166	90.0	369.473684	0.0
167	90.0	426.315789	0.0
168	90.0	483.157895	1.0
169	90.0	540.0	1.0
170	-1.0	0.0	0.0
171	-1.0	0.0	0.0
172	-1.0	0.0	0.0
173	-1.0	0.0	0.0
174	-1.0	0.0	1.0
175	-1.0	0.0	1.0
176	-1.0	0.0	1.0
177	-1.0	0.0	1.0
178	-1.0	0.0	1.0
179	-1.0	0.0	1.0
180	180.0	-540.0	1.0
181	180.0	-483.157895	1.0
182	180.0	-426.315789	0.0
183	180.0	-369.473684	1.0
184	180.0	-312.631579	0.0
185	180.0	-255.789474	1.0
186	180.0	-198.947368	0.0
187	180.0	-142.105263	1.0
188	180.0	-85.263158	1.0
189	180.0	-28.421053	1.0
190	180.0	28.421053	0.0
191	180.0	85.263158	0.0
192	180.0	142.105263	0.0
193	180.0	198.947368	0.0
194	180.0	255.789474	1.0
195	180.0	312.631579	0.0
196	180.0	369.473684	1.0
197	180.0	426.315789	1.0
198	180.0	483.157895	1.0
199	180.0	540.0	1.0
200	270.0	-540.0	1.0
201	270.0	-483.157895	0.0
202	270.0	-426.315789	1.0
203	270.0	-369.473684	1.0
204	270.0	-312.631579	1.0
205	270.0	-255.789474	1.0
206	270.0	-198.947368	1.0
207	270.0	-142.105263	1.0
208	270.0	-85.263158	0.0
209	270.0	-28.421053	0.0
210	270.0	28.421053	0.0
211	270.0	85.263158	0.0
212	270.0	142.105263	1.0
213	270.0	198.947368	0.0
214	270.0	255.789474	1.0
215	270.0	312.631579	1.0
216	270.0	369.473684	0.0
217	270.0	426.315789	1.0
218	270.0	483.157895	0.0
219	270.0	540.0	1.0
220	-1.0	0.0	0.0
221	-1.0	0.0	1.0
222	-1.0	0.0	1.0
223	-1.0	0.0	1.0
224	-1.0	0.0	1.0
225	-1.0	0.0	1.0
226	-1.0	0.0	0.0
227	-1.0	0.0	1.0
228	-1.0	0.0	1.0
229	-1.0	0.0	0.0
230	-1.0	0.0	1.0
231	-1.0	0.0	1.0
232	-1.0	0.0	0.0
233	-1.0	0.0	1.0
234	-1.0	0.0	1.0
235	-1.0	0.0	0.0
236	-1.0	0.0	1.0
237	-1.0	0.0	0.0
238	-1.0	0.0	1.0
239	-1.0	0.0	0.0
240	0.0	-540.0	0.0
241	0.0	-483.157895	0.0
242	0.0	-426.315789	0.0
243	0.0	-369.473684	1.0
244	0.0	-312.631579	0.0
245	0.0	-255.789474	0.0
246	0.0	-198.947368	1.0
247	0.0	-142.105263	1.0
248	0.0	-85.263158	1.0
249	0.0	-28.421053	1.0
250	0.0	28.421053	1.0
251	0.0	85.263158	0.0
252	0.0	142.105263	1.0
253	0.0	198.947368	1.0
254	0.0	255.789474	0.0
255	0.0	312.631579	0.0
256	0.0	369.473684	1.0
257	0.0	426.315789	1.0
258	0.0	483.157895	0.0
259	0.0	540.0	0.0
260	90.0	-540.0	0.0
261	90.0	-483.157895	0.0
262	90.0	-426.315789	0.0
263	90.0	-369.473684	1.0
264	90.0	-312.631579	1.0
265	90.0	-255.789474	0.0
266	90.0	-198.947368	1.0
267	90.0	-142.105263	1.0
268	90.0	-85.263158	1.0
269	90.0	-28.421053	0.0
270	90.0	28.421053	1.0
271	90.0	85.263158	1.0
272	90.0	142.105263	0.0
273	90.0	198.947368	0.0
274	90.0	255.789474	0.0
275	90.0	312.631579	0.0
276	90.0	369.473684	1.0
277	90.0	426.315789	1.0
278	90.0	483.157895	1.0
279	90.0	540.0	1.0
280	-1.0	0.0	0.0
281	-1.0	0.0	1.0
282	-1.0	0.0	0.0
283	-1.0	0.0	0.0
284	-1.0	0.0	1.0
285	-1.0	0.0	0.0
286	-1.0	0.0	0.0
287	-1.0	0.0	1.0
288	-1.0	0.0	0.0
289	-1.0	0.0	0.0
290	180.0	-540.0	1.0
291	180.0	-483.157895	1.0
292	180.0	-426.315789	0.0
293	180.0	-369.473684	0.0
294	180.0	-312.631579	1.0
295	180.0	-255.789474	1.0
296	180.0	-198.947368	0.0
297	180.0	-142.105263	1.0
298	180.0	-85.263158	0.0
299	180.0	-28.421053	1.0
300	180.0	28.421053	0.0
301	180.0	85.263158	0.0
302	180.0	142.105263	0.0
303	180.0	198.947368	1.0
304	180.0	255.789474	1.0
305	180.0	312.631579	0.0
306	180.0	369.473684	1.0
307	180.0	426.315789	0.0
308	180.0	483.157895	0.0
309	180.0	540.0	1.0
310	270.0	-540.0	1.0
311	270.0	-483.157895	0.0
312	270.0	-426.315789	0.0
313	270.0	-369.473684	0.0
314	270.0	-312.631579	0.0
315	270.0	-255.789474	1.0
316	270.0	-198.947368	0.0
317	270.0	-142.105263	0.0
318	270.0	-85.263158	1.0
319	270.0	-28.421053	0.0
320	270.0	28.421053	0.0
321	270.0	85.263158	0.0
322	270.0	142.105263	0.0
323	270.0	198.947368	0.0
324	270.0	255.789474	1.0
325	270.0	312.631579	0.0
326	270.0	369.473684	0.0
327	270.0	426.315789	1.0
328	270.0	483.157895	0.0
329	270.0	540.0	0.0
330	-1.0	0.0	0.0
331	-1.0	0.0	1.0
332	-1.0	0.0	0.0
333	-1.0	0.0	0.0
334	-1.0	0.0	1.0
335	-1.0	0.0	0.0
336	-1.0	0.0	0.0
337	-1.0	0.0	0.0
338	-1.0	0.0	1.0
339	-1.0	0.0	0.0
340	-1.0	0.0	0.0
341	-1.0	0.0	1.0
342	-1.0	0.0	0.0
343	-1.0	0.0	0.0
344	-1.0	0.0	0.0
345	-1.0	0.0	1.0
346	-1.0	0.0	0.0
347	-1.0	0.0	0.0
348	-1.0	0.0	1.0
349	-1.0	0.0	0.0
350	-1.0	0.0	1.0
351	-1.0	0.0	1.0
352	-1.0	0.0	0.0
353	-1.0	0.0	0.0
354	-1.0	0.0	0.0
355	-1.0	0.0	1.0
356	-1.0	0.0	1.0
357	-1.0	0.0	1.0
358	-1.0	0.0	1.0
359	-1.0	0.0	1.0
360	0.0	-540.0	1.0
361	0.0	-483.157895	1.0
362	0.0	-426.315789	1.0
363	0.0	-369.473684	1.0
364	0.0	-312.631579	0.0
365	0.0	-255.789474	1.0
366	0.0	-198.947368	1.0
367	0.0	-142.105263	1.0
368	0.0	-85.263158	0.0
369	0.0	-28.421053	0.0
370	0.0	28.421053	1.0
371	0.0	85.263158	0.0
372	0.0	142.105263	0.0
373	0.0	198.947368	0.0
374	0.0	255.789474	1.0
375	0.0	312.631579	0.0
376	0.0	369.473684	0.0
377	0.0	426.315789	0.0
378	0.0	483.157895	1.0
379	0.0	540.0	0.0
380	90.0	-540.0	1.0
381	90.0	-483.157895	1.0
382	90.0	-426.315789	1.0
383	90.0	-369.473684	0.0
384	90.0	-312.631579	1.0
385	90.0	-255.789474	0.0
386	90.0	-198.947368	0.0
387	90.0	-142.105263	0.0
388	90.0	-85.263158	1.0
389	90.0	-28.421053	1.0
390	90.0	28.421053	0.0
391	90.0	85.263158	0.0
392	90.0	142.105263	0.0
393	90.0	198.947368	0.0
394	90.0	255.789474	1.0
395	90.0	312.631579	1.0
396	90.0	369.473684	1.0
397	90.0	426.315789	1.0
398	90.0	483.157895	1.0
399	90.0	540.0	1.0
400	-1.0	0.0	0.0
401	-1.0	0.0	0.0
402	-1.0	0.0	0.0
403	-1.0	0.0	1.0
404	-1.0	0.0	0.0
405	-1.0	0.0	1.0
406	-1.0	0.0	0.0
407	-1.0	0.0	1.0
408	-1.0	0.0	0.0
409	-1.0	0.0	1.0
410	180.0	-540.0	0.0
411	180.0	-483.157895	0.0
412	180.0	-426.315789	0.0
413	180.0	-369.473684	0.0
414	180.0	-312.631579	0.0
415	180.0	-255.789474	0.0
416	180.0	-198.947368	0.0
417	180.0	-142.105263	1.0
418	180.0	-85.263158	0.0
419	180.0	-28.421053	1.0
420	180.0	28.421053	0.0
421	180.0	85.263158	0.0
422	180.0	142.105263	0.0
423	180.0	198.947368	0.0
424	180.0	255.789474	1.0
425	180.0	312.631579	0.0
426	180.0	369.473684	0.0
427	180.0	426.315789	0.0
428	180.0	483.157895	1.0
429	180.0	540.0	0.0
430	270.0	-540.0	0.0
431	270.0	-483.157895	1.0
432	270.0	-426.315789	1.0
433	270.0	-369.473684	0.0
434	270.0	-312.631579	0.0
435	270.0	-255.789474	1.0
436	270.0	-198.947368	0.0
437	270.0	-142.105263	0.0
438	270.0	-85.263158	0.0
439	270.0	-28.421053	0.0
440	270.0	28.421053	1.0
441	270.0	85.263158	0.0
442	270.0	142.105263	0.0
443	270.0	198.947368	0.0
444	270.0	255.789474	0.0
445	270.0	312.631579	1.0
446	270.0	369.473684	1.0
447	270.0	426.315789	0.0
448	270.0	483.157895	0.0
449	270.0	540.0	1.0
450	-1.0	0.0	1.0
451	-1.0	0.0	1.0
452	-1.0	0.0	0.0
453	-1.0	0.0	0.0
454	-1.0	0.0	1.0
455	-1.0	0.0	1.0
456	-1.0	0.0	0.0
457	-1.0	0.0	1.0
