	orientation_at_TR	pos_in_ori_at_TR	direction_at_TR
0	-1.0	0.0	0.0
1	-1.0	0.0	1.0
2	-1.0	0.0	1.0
3	-1.0	0.0	0.0
4	-1.0	0.0	1.0
5	-1.0	0.0	1.0
6	-1.0	0.0	1.0
7	-1.0	0.0	0.0
8	-1.0	0.0	0.0
9	-1.0	0.0	1.0
10	-1.0	0.0	1.0
11	-1.0	0.0	1.0
12	-1.0	0.0	0.0
13	-1.0	0.0	0.0
14	-1.0	0.0	1.0
15	-1.0	0.0	1.0
16	-1.0	0.0	0.0
17	-1.0	0.0	0.0
18	-1.0	0.0	0.0
19	-1.0	0.0	0.0
20	0.0	-540.0	0.0
21	0.0	-483.1578947368421	1.0
22	0.0	-426.3157894736842	1.0
23	0.0	-369.4736842105263	0.0
24	0.0	-312.63157894736844	1.0
25	0.0	-255.78947368421055	0.0
26	0.0	-198.94736842105266	1.0
27	0.0	-142.10526315789477	0.0
28	0.0	-85.26315789473686	0.0
29	0.0	-28.421052631578977	1.0
30	0.0	28.421052631578917	0.0
31	0.0	85.26315789473686	0.0
32	0.0	142.1052631578947	1.0
33	0.0	198.94736842105254	1.0
34	0.0	255.7894736842105	0.0
35	0.0	312.63157894736844	0.0
36	0.0	369.47368421052624	1.0
37	0.0	426.3157894736841	0.0
38	0.0	483.157894736842	1.0
39	0.0	540.0	0.0
40	90.0	-540.0	1.0
41	90.0	-483.1578947368421	0.0
42	90.0	-426.3157894736842	1.0
43	90.0	-369.4736842105263	0.0
44	90.0	-312.63157894736844	1.0
45	90.0	-255.78947368421055	1.0
46	90.0	-198.94736842105266	0.0
47	90.0	-142.10526315789477	1.0
48	90.0	-85.26315789473686	1.0
49	90.0	-28.421052631578977	1.0
50	90.0	28.421052631578917	0.0
51	90.0	85.26315789473686	0.0
52	90.0	142.1052631578947	1.0
53	90.0	198.94736842105254	1.0
54	90.0	255.7894736842105	1.0
55	90.0	312.63157894736844	1.0
56	90.0	369.47368421052624	0.0
57	90.0	426.3157894736841	1.0
58	90.0	483.157894736842	1.0
59	90.0	540.0	1.0
60	-1.0	0.0	0.0
61	-1.0	0.0	0.0
62	-1.0	0.0	1.0
63	-1.0	0.0	1.0
64	-1.0	0.0	1.0
65	-1.0	0.0	0.0
66	-1.0	0.0	0.0
67	-1.0	0.0	1.0
68	-1.0	0.0	0.0
69	-1.0	0.0	0.0
70	180.0	-540.0	0.0
71	180.0	-483.1578947368421	0.0
72	180.0	-426.3157894736842	1.0
73	180.0	-369.4736842105263	0.0
74	180.0	-312.63157894736844	1.0
75	180.0	-255.78947368421055	1.0
76	180.0	-198.94736842105266	1.0
77	180.0	-142.10526315789477	0.0
78	180.0	-85.26315789473686	1.0
79	180.0	-28.421052631578977	1.0
80	180.0	28.421052631578917	1.0
81	180.0	85.26315789473686	0.0
82	180.0	142.1052631578947	1.0
83	180.0	198.94736842105254	0.0
84	180.0	255.7894736842105	1.0
85	180.0	312.63157894736844	1.0
86	180.0	369.47368421052624	1.0
87	180.0	426.3157894736841	0.0
88	180.0	483.157894736842	0.0
89	180.0	540.0	1.0
90	270.0	-540.0	1.0
91	270.0	-483.1578947368421	0.0
92	270.0	-426.3157894736842	0.0
93	270.0	-369.4736842105263	1.0
94	270.0	-312.63157894736844	1.0
95	270.0	-255.78947368421055	0.0
96	270.0	-198.94736842105266	0.0
97	270.0	-142.10526315789477	1.0
98	270.0	-85.26315789473686	0.0
99	270.0	-28.421052631578977	0.0
100	270.0	28.421052631578917	0.0
101	270.0	85.26315789473686	0.0
102	270.0	142.1052631578947	1.0
103	270.0	198.94736842105254	0.0
104	270.0	255.7894736842105	0.0
105	270.0	312.63157894736844	0.0
106	270.0	369.47368421052624	1.0
107	270.0	426.3157894736841	0.0
108	270.0	483.157894736842	0.0
109	270.0	540.0	1.0
110	-1.0	0.0	1.0
111	-1.0	0.0	1.0
112	-1.0	0.0	0.0
113	-1.0	0.0	0.0
114	-1.0	0.0	1.0
115	-1.0	0.0	1.0
116	-1.0	0.0	1.0
117	-1.0	0.0	1.0
118	-1.0	0.0	0.0
119	-1.0	0.0	0.0
120	0.0	-540.0	0.0
121	0.0	-483.1578947368421	0.0
122	0.0	-426.3157894736842	0.0
123	0.0	-369.4736842105263	0.0
124	0.0	-312.63157894736844	0.0
125	0.0	-255.78947368421055	1.0
126	0.0	-198.94736842105266	0.0
127	0.0	-142.10526315789477	0.0
128	0.0	-85.26315789473686	0.0
129	0.0	-28.421052631578977	1.0
130	0.0	28.421052631578917	1.0
131	0.0	85.26315789473686	0.0
132	0.0	142.1052631578947	1.0
133	0.0	198.94736842105254	0.0
134	0.0	255.7894736842105	0.0
135	0.0	312.63157894736844	1.0
136	0.0	369.47368421052624	1.0
137	0.0	426.3157894736841	0.0
138	0.0	483.157894736842	1.0
139	0.0	540.0	1.0
140	90.0	-540.0	1.0
141	90.0	-483.1578947368421	0.0
142	90.0	-426.3157894736842	0.0
143	90.0	-369.4736842105263	0.0
144	90.0	-312.63157894736844	1.0
145	90.0	-255.78947368421055	0.0
146	90.0	-198.94736842105266	1.0
147	90.0	-142.10526315789477	1.0
148	90.0	-85.26315789473686	0.0
149	90.0	-28.421052631578977	0.0
150	90.0	28.421052631578917	0.0
151	90.0	85.26315789473686	0.0
152	90.0	142.1052631578947	0.0
153	90.0	198.94736842105254	1.0
154	90.0	255.7894736842105	1.0
155	90.0	312.63157894736844	0.0
156	90.0	369.47368421052624	0.0
157	90.0	426.3157894736841	1.0
158	90.0	483.157894736842	1.0
159	90.0	540.0	1.0
160	-1.0	0.0	0.0
161	-1.0	0.0	0.0
162	-1.0	0.0	1.0
163	-1.0	0.0	0.0
164	-1.0	0.0	0.0
165	-1.0	0.0	1.0
166	-1.0	0.0	0.0
167	-1.0	0.0	0.0
168	-1.0	0.0	1.0
169	-1.0	0.0	1.0
170	180.0	-540.0	1.0
171	180.0	-483.1578947368421	0.0
172	180.0	-426.3157894736842	1.0
173	180.0	-369.4736842105263	1.0
174	180.0	-312.63157894736844	0.0
175	180.0	-255.78947368421055	0.0
176	180.0	-198.94736842105266	0.0
177	180.0	-142.10526315789477	1.0
178	180.0	-85.26315789473686	0.0
179	180.0	-28.421052631578977	1.0
180	180.0	28.421052631578917	0.0
181	180.0	85.26315789473686	0.0
182	180.0	142.1052631578947	0.0
183	180.0	198.94736842105254	0.0
184	180.0	255.7894736842105	1.0
185	180.0	312.63157894736844	1.0
186	180.0	369.47368421052624	1.0
187	180.0	426.3157894736841	0.0
188	180.0	483.157894736842	1.0
189	180.0	540.0	1.0
190	270.0	-540.0	1.0
191	270.0	-483.1578947368421	0.0
192	270.0	-426.3157894736842	1.0
193	270.0	-369.4736842105263	1.0
194	270.0	-312.63157894736844	0.0
195	270.0	-255.78947368421055	0.0
196	270.0	-198.94736842105266	1.0
197	270.0	-142.10526315789477	1.0
198	270.0	-85.26315789473686	0.0
199	270.0	-28.421052631578977	0.0
200	270.0	28.421052631578917	0.0
201	270.0	85.26315789473686	0.0
202	270.0	142.1052631578947	1.0
203	270.0	198.94736842105254	0.0
204	270.0	255.7894736842105	1.0
205	270.0	312.63157894736844	0.0
206	270.0	369.47368421052624	1.0
207	270.0	426.3157894736841	0.0
208	270.0	483.157894736842	0.0
209	270.0	540.0	1.0
210	-1.0	0.0	0.0
211	-1.0	0.0	0.0
212	-1.0	0.0	1.0
213	-1.0	0.0	1.0
214	-1.0	0.0	1.0
215	-1.0	0.0	0.0
216	-1.0	0.0	1.0
217	-1.0	0.0	1.0
218	-1.0	0.0	1.0
219	-1.0	0.0	0.0
220	0.0	-540.0	0.0
221	0.0	-483.1578947368421	0.0
222	0.0	-426.3157894736842	0.0
223	0.0	-369.4736842105263	0.0
224	0.0	-312.63157894736844	0.0
225	0.0	-255.78947368421055	1.0
226	0.0	-198.94736842105266	1.0
227	0.0	-142.10526315789477	1.0
228	0.0	-85.26315789473686	0.0
229	0.0	-28.421052631578977	0.0
230	0.0	28.421052631578917	0.0
231	0.0	85.26315789473686	1.0
232	0.0	142.1052631578947	0.0
233	0.0	198.94736842105254	0.0
234	0.0	255.7894736842105	1.0
235	0.0	312.63157894736844	0.0
236	0.0	369.47368421052624	1.0
237	0.0	426.3157894736841	0.0
238	0.0	483.157894736842	0.0
239	0.0	540.0	0.0
240	90.0	-540.0	0.0
241	90.0	-483.1578947368421	0.0
242	90.0	-426.3157894736842	1.0
243	90.0	-369.4736842105263	1.0
244	90.0	-312.63157894736844	0.0
245	90.0	-255.78947368421055	0.0
246	90.0	-198.94736842105266	0.0
247	90.0	-142.10526315789477	1.0
248	90.0	-85.26315789473686	1.0
249	90.0	-28.421052631578977	1.0
250	90.0	28.421052631578917	0.0
251	90.0	85.26315789473686	0.0
252	90.0	142.1052631578947	1.0
253	90.0	198.94736842105254	0.0
254	90.0	255.7894736842105	1.0
255	90.0	312.63157894736844	0.0
256	90.0	369.47368421052624	0.0
257	90.0	426.3157894736841	0.0
258	90.0	483.157894736842	1.0
259	90.0	540.0	1.0
260	-1.0	0.0	1.0
261	-1.0	0.0	0.0
262	-1.0	0.0	1.0
263	-1.0	0.0	1.0
264	-1.0	0.0	0.0
265	-1.0	0.0	0.0
266	-1.0	0.0	0.0
267	-1.0	0.0	1.0
268	-1.0	0.0	1.0
269	-1.0	0.0	1.0
270	180.0	-540.0	1.0
271	180.0	-483.1578947368421	0.0
272	180.0	-426.3157894736842	1.0
273	180.0	-369.4736842105263	0.0
274	180.0	-312.63157894736844	0.0
275	180.0	-255.78947368421055	0.0
276	180.0	-198.94736842105266	1.0
277	180.0	-142.10526315789477	1.0
278	180.0	-85.26315789473686	1.0
279	180.0	-28.421052631578977	1.0
280	180.0	28.421052631578917	0.0
281	180.0	85.26315789473686	0.0
282	180.0	142.1052631578947	0.0
283	180.0	198.94736842105254	1.0
284	180.0	255.7894736842105	1.0
285	180.0	312.63157894736844	1.0
286	180.0	369.47368421052624	0.0
287	180.0	426.3157894736841	0.0
288	180.0	483.157894736842	0.0
289	180.0	540.0	1.0
290	270.0	-540.0	1.0
291	270.0	-483.1578947368421	0.0
292	270.0	-426.3157894736842	0.0
293	270.0	-369.4736842105263	0.0
294	270.0	-312.63157894736844	0.0
295	270.0	-255.78947368421055	0.0
296	270.0	-198.94736842105266	1.0
297	270.0	-142.10526315789477	1.0
298	270.0	-85.26315789473686	1.0
299	270.0	-28.421052631578977	0.0
300	270.0	28.421052631578917	0.0
301	270.0	85.26315789473686	1.0
302	270.0	142.1052631578947	1.0
303	270.0	198.94736842105254	0.0
304	270.0	255.7894736842105	0.0
305	270.0	312.63157894736844	0.0
306	270.0	369.47368421052624	0.0
307	270.0	426.3157894736841	0.0
308	270.0	483.157894736842	1.0
309	270.0	540.0	0.0
310	-1.0	0.0	0.0
311	-1.0	0.0	1.0
312	-1.0	0.0	0.0
313	-1.0	0.0	0.0
314	-1.0	0.0	0.0
315	-1.0	0.0	0.0
316	-1.0	0.0	1.0
317	-1.0	0.0	1.0
318	-1.0	0.0	1.0
319	-1.0	0.0	1.0
