	orientation_at_TR	pos_in_ori_at_TR	direction_at_TR
0	-1.0	0.0	1.0
1	-1.0	0.0	1.0
2	-1.0	0.0	0.0
3	-1.0	0.0	1.0
4	-1.0	0.0	1.0
5	-1.0	0.0	0.0
6	-1.0	0.0	0.0
7	-1.0	0.0	0.0
8	-1.0	0.0	0.0
9	-1.0	0.0	1.0
10	-1.0	0.0	1.0
11	-1.0	0.0	1.0
12	-1.0	0.0	1.0
13	-1.0	0.0	0.0
14	-1.0	0.0	1.0
15	0.0	-486.0	0.0
16	0.0	-434.842105	1.0
17	0.0	-383.684211	1.0
18	0.0	-332.526316	1.0
19	90.0	-230.210526	0.0
20	0.0	-230.210526	0.0
21	0.0	-179.052632	0.0
22	0.0	-127.894737	0.0
23	0.0	-76.736842	0.0
24	0.0	-25.578947	0.0
25	0.0	25.578947	1.0
26	0.0	76.736842	0.0
27	90.0	-281.368421	1.0
28	0.0	179.052632	0.0
29	0.0	230.210526	0.0
30	0.0	281.368421	1.0
31	0.0	332.526316	1.0
32	90.0	-25.578947	0.0
33	0.0	434.842105	0.0
34	0.0	486.0	1.0
35	90.0	-486.0	0.0
36	0.0	-230.210526	1.0
37	90.0	-383.684211	0.0
38	90.0	-332.526316	0.0
39	90.0	-281.368421	1.0
40	90.0	-230.210526	0.0
41	90.0	-179.052632	0.0
42	0.0	-127.894737	0.0
43	90.0	-76.736842	1.0
44	90.0	-25.578947	1.0
45	90.0	25.578947	0.0
46	90.0	76.736842	0.0
47	90.0	127.894737	1.0
48	90.0	179.052632	0.0
49	90.0	230.210526	0.0
50	90.0	281.368421	0.0
51	90.0	332.526316	1.0
52	90.0	383.684211	0.0
53	0.0	-76.736842	1.0
54	90.0	486.0	1.0
55	-1.0	0.0	0.0
56	-1.0	0.0	0.0
57	-1.0	0.0	0.0
58	-1.0	0.0	1.0
59	-1.0	0.0	0.0
60	-1.0	0.0	0.0
61	-1.0	0.0	1.0
62	-1.0	0.0	1.0
63	-1.0	0.0	1.0
64	-1.0	0.0	0.0
65	-1.0	0.0	1.0
66	-1.0	0.0	1.0
67	-1.0	0.0	1.0
68	-1.0	0.0	1.0
69	-1.0	0.0	0.0
70	180.0	-486.0	0.0
71	180.0	-434.842105	1.0
72	180.0	-383.684211	1.0
73	180.0	-332.526316	0.0
74	180.0	-281.368421	1.0
75	90.0	332.526316	1.0
76	180.0	-179.052632	0.0
77	180.0	-127.894737	0.0
78	180.0	-76.736842	1.0
79	180.0	-25.578947	1.0
80	90.0	281.368421	1.0
81	180.0	76.736842	1.0
82	180.0	127.894737	1.0
83	180.0	179.052632	1.0
84	180.0	230.210526	0.0
85	90.0	230.210526	1.0
86	180.0	332.526316	0.0
87	180.0	383.684211	1.0
88	180.0	434.842105	1.0
89	180.0	486.0	1.0
90	270.0	-486.0	0.0
91	270.0	-434.842105	0.0
92	270.0	-383.684211	1.0
93	270.0	-332.526316	1.0
94	270.0	-281.368421	0.0
